id,title,description,age_certification,runtime,hit,imdb_id,imdb_votes,tmdb_popularity,tmdb_score,top_three,release_decade
tm191110,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancÃ©. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its deathâ€”on its first and last voyageâ€”on April 15, 1912.",PG-13,194,1,tt0120338,1146825,155.683,7.878,1,1990s
tm983787,Ava,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,R,96,0,tt8784956,54279,155.235,5.753,1,2020s
tm957290,Umma,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",PG-13,83,0,tt13235822,4583,155.039,5.9,1,2020s
tm1020851,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they're monsters, a group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback.",PG,95,0,tt13575806,7896,155.021,7.8,1,2020s
tm68272,Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",R,88,0,tt1636826,207830,148.44,6.8,1,2010s
tm434625,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,PG,99,1,tt5562070,25743,135.036,8.047,1,2020s
tm134967,How to Train Your Dragon 2,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",PG,102,1,tt1646971,330975,134.7,7.67,1,2010s
tm456513,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",R,148,0,tt0993840,169348,131.869,6.3,1,2020s
tm413169,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",PG,93,0,tt8376234,11233,130.318,7.2,1,2020s
tm150928,It Follows,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.",R,101,0,tt3235888,236513,123.984,6.559,0,2010s
tm1075698,Metal Lords,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",R,97,0,tt12141112,24672,123.401,6.8,1,2020s
tm178712,Scary Movie 5,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",PG-13,89,0,tt0795461,71405,122.985,4.8,1,2010s
tm30603,Hancock,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",PG-13,92,0,tt0448157,476593,121.985,6.33,1,2000s
tm856378,Don't Look Up,Two American astronomers attempt to warn humankind about an approaching comet that will wipe out life on planet Earth.,R,138,1,tt11286314,515337,120.874,7.208,1,2020s
tm1047503,Trees of Peace,"In April of 1994, four women from different backgrounds and beliefs are trapped and hiding during the Rwandan genocide. Their fight for survival against all odds unites the women in an unbreakable sisterhood.",NC-17,97,0,tt11316680,1104,118.558,7.3,1,2020s
tm143085,Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",R,120,0,tt1823672,249345,117.369,6.8,1,2010s
tm825714,The Harder They Fall,"When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge.",R,139,0,tt10696784,59833,114.813,6.746,1,2020s
tm226948,The Shack,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.",PG-13,132,0,tt2872518,35748,110.758,7.5,1,2010s
tm1111717,L.O.L. Surprise: The Movie,Dazzling doll sisters Queen Bee and Royal Bee make their first movie with help from their fashionable friends in this one-of-a-kind magical adventure.,G,47,0,tt15576986,129,109.716,6.9,1,2020s
tm92641,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",PG-13,148,1,tt1375666,2294231,108.284,8.4,1,2010s
tm898614,Sweet Girl,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,R,110,0,tt10731768,31312,106.627,6.7,1,2020s
tm501313,Gunpowder Milkshake,Three generations of women fight back against those who could take everything from them.,R,114,0,tt8368408,42709,106.522,6.398,1,2020s
tm314863,Vivo,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,PG,103,0,tt6338498,18238,101.83,7.5,1,2020s
