id,title,description,age_certification,runtime,hit,imdb_id,imdb_votes,tmdb_popularity,tmdb_score,top_three,release_decade
tm200690,The Forest,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",R,95,0,tt3387542,42561,33.204,5.2,1,2010s
tm42877,Wanted,"Doormat Wesley Gibson discovers that his recently murdered father - who Wesley never knew - belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",R,110,0,tt0493464,384995,33.101,6.5,1,2000s
tm1092892,Found,Follows the story of three American teenage girlsâ€”each adopted from Chinaâ€”who discover they are blood-related cousins on 23andMe. Their online meeting inspires the young women to confront the burning questions they have about their lost history.,PG,97,1,tt13622146,1198,32.993,7.5,1,2020s
tm992260,Yes Day,A mom and dad who usually say no decide to say yes to their kids' wildest requests â€” with a few ground rules â€” on a whirlwind day of fun and adventure.,PG,86,0,tt8521876,23625,32.951,6.9,1,2020s
tm22327,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,R,117,1,tt0093058,729274,32.937,8.1,1,1980s
tm166628,The Smurfs 2,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the worldÂ¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",PG,105,0,tt2017020,42011,32.819,5.8,1,2010s
tm425889,The Ballad of Buster Scruggs,"Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride.",R,132,1,tt6412452,144294,32.555,7.145,1,2010s
tm78919,Mr. Bean's Holiday,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling and true love, among other things.",G,90,0,tt0453451,125160,32.512,6.3,1,2000s
tm323634,A-X-L,The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,PG-13,98,0,tt5709188,11920,32.431,6.3,1,2010s
tm204163,War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",R,114,1,tt2005151,212032,32.374,6.9,1,2010s
tm1883,Animal Crackers,A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.,PG,105,0,tt4155534,3422,32.235,6.3,1,2010s
tm118637,John Q,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.",PG-13,116,1,tt0251160,133215,32.229,7.121,1,2000s
tm161525,The Green Inferno,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not aloneâ€¦ and that no good deed goes unpunished.",R,100,0,tt2403021,44016,32.224,5.7,0,2010s
tm233482,The Foreigner,Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love â€“ his teenage daughter â€“ dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers.,R,113,1,tt1615160,113338,32.05,6.8,1,2010s
tm113513,Dumb and Dumber,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",PG-13,107,1,tt0109686,379999,31.852,6.6,1,1990s
tm355783,Eli,"A boy named Eli with a rare autoimmune disorder is confined to a special experimental clinic for his treatment. He soon begins experiencing supernatural forces, turning the supposedly safe facility into a haunted prison for him and his fellow patients.",R,98,0,tt5294518,35214,31.78,6,1,2010s
tm886464,The Wrong Missy,"A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.",R,90,0,tt9619798,39237,31.686,6.2,1,2020s
tm65765,6 Bullets,An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,R,115,0,tt1975249,14988,31.445,6.1,1,2010s
tm324155,Security,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",R,87,0,tt3501112,18943,31.419,6.2,1,2010s
tm26897,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",PG-13,106,0,tt0830515,444241,31.298,6.304,1,2000s
tm916405,The Outpost,"A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",R,123,0,tt3833480,32952,31.294,6.9,1,2020s
tm233377,The Edge of Seventeen,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",R,105,1,tt1878870,124099,31.226,7.2,1,2010s
tm19494,The Replacements,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",PG-13,118,0,tt0191397,64771,30.982,6.6,1,2000s
tm204035,Spectral,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,PG-13,109,0,tt2106651,59040,30.663,6.43,1,2010s
tm95252,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",R,118,0,tt1037705,314920,30.476,6.8,1,2010s
tm449105,Polar,"When a retiring assassin realizes that he is the target of a hit, he winds up back in the game going head to head with a gang of younger, ruthless killers.",R,118,0,tt4139588,88281,30.208,6.3,1,2010s
tm834851,I Care a Lot,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,R,118,0,tt9893250,129321,30.192,6.6,1,2020s
tm411750,Doom: Annihilation,"A group of UAC Marines responds to a distress call from a top-secret scientific base on Phobos, a Martian moon, only to discover it's been overrun by demons.",R,96,0,tt8328716,9281,29.955,4.9,1,2010s
tm912100,Bruised,"Jackie Justice is a mixed martial arts fighter who leaves the sport in disgrace. Down on her luck and simmering with rage and regret years after the fight, she's coaxed into a brutal underground fight by her manager and boyfriend Desi and grabs the attention of a fight league promoter who promises Jackie a life back in the Octagon. But the road to redemption becomes unexpectedly personal when Manny - the son she gave up as an infant - shows up at her doorstep. A triumphant story of a fighter who reclaims her power, in and out of the ring, when everyone has counted her out",R,129,0,tt8310474,14293,29.914,7,1,2020s
tm194792,The Boy,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",PG-13,97,0,tt3882082,90853,29.848,5.9,0,2010s
tm176864,Rush,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,R,123,1,tt1979320,471586,29.759,7.7,1,2010s
tm471968,Passing,"In 1920s New York City, a Black woman finds her world upended when her life becomes intertwined with a former childhood friend who's passing as white.",PG-13,98,0,tt8893974,13803,29.687,6.451,1,2020s
tm192037,Starship Troopers,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",R,129,1,tt0120201,291452,29.5,6.993,1,1990s
tm27395,Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",PG-13,123,0,tt0120755,337987,29.392,6.1,1,2000s
tm431321,21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",R,99,0,tt8688634,65845,29.285,6.7,1,2010s
tm439163,Brahms: The Boy II,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",PG-13,86,0,tt9173418,17048,29.249,6.017,1,2020s
tm180542,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",R,139,1,tt0087843,345714,28.937,8.453,1,1980s
tm244207,Triple Frontier,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",R,125,0,tt1488606,125883,28.54,6.3,1,2010s
tm233465,The Bye Bye Man,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.",PG-13,96,0,tt4030600,23960,28.381,5.2,1,2010s
tm26327,The Hurt Locker,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",R,131,1,tt0887912,446904,28.341,7.3,1,2000s
tm848995,Jingle Jangle: A Christmas Journey,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",PG,122,0,tt7736496,18374,28.329,6.65,0,2020s
tm327622,S.W.A.T.: Under Siege,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as â€œThe Scorpionâ€ for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, itâ€™s up to him and his expert S.W.A.T. team to keep â€œThe Scorpionâ€ and his billion dollar secrets safe.",R,89,0,tt6014472,3572,28.251,5.8,1,2010s
tm243100,Hell or High Water,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,R,102,1,tt2582782,227350,28.227,7.303,1,2010s
tm310706,Extinction,"A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",R,96,0,tt3201640,52635,28.029,6.009,1,2010s
tm186589,Cliffhanger,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",R,112,0,tt0106582,128972,27.78,6.5,1,1990s
tm137693,Crimson Peak,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleedsâ€¦ and remembers.",R,119,0,tt2554274,146073,27.654,6.64,1,2010s
tm244197,Replicas,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,PG-13,94,0,tt4154916,37340,27.644,6.1,1,2010s
tm943771,Angela's Christmas Wish,"A determined Angela makes a wish to reunite her family in time for Christmas, then launches a plan to find her way from Ireland to Australia.",G,47,1,tt13260836,1451,27.407,6.3,1,2020s
tm180599,The Haunting in Connecticut 2: Ghosts of Georgia,"A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.",R,101,0,tt1457765,17264,27.261,5.8,1,2010s
tm40009,21,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",PG-13,123,0,tt0478087,249016,27.013,6.7,1,2000s
tm53991,Big Daddy,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",PG-13,93,0,tt0142342,215053,26.848,6.45,1,1990s
tm136483,The DUFF,"Bianca's universe turns upside down when she learns that her high school refers to her as a â€˜DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFFâ€¦ and that's totally fine.",PG-13,101,0,tt1666801,93675,26.748,6.8,1,2010s
tm244259,Wind River,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,R,107,1,tt5362988,244463,26.743,7.427,1,2010s
tm138905,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,R,188,1,tt3460252,570138,26.531,7.737,1,2010s
tm134791,Unfriended,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.",R,82,0,tt3713166,73854,26.429,5.5,1,2010s
tm244191,The Beguiled,"During the Civil War, at a Southern girlsâ€™ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.",R,93,0,tt5592248,21,26.24,5.9,1,2010s
tm417392,The King,"England, 15th century. Hal, a capricious prince who lives among the populace far from court, is forced by circumstances to reluctantly accept the throne and become Henry V.",R,140,1,tt7984766,124438,25.987,7.2,1,2010s
tm315344,Molly's Game,"Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game.",R,140,1,tt4209788,167955,25.929,7.147,1,2010s
tm244174,Okja,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",PG-13,122,1,tt3967856,116305,25.911,7.415,1,2010s
tm239743,Batman: The Killing Joke,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",R,76,0,tt4853102,56275,25.747,6.615,1,2010s
tm1138477,Downfall: The Case Against Boeing,Investigators reveal how Boeingâ€™s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.,R,89,1,tt11893274,10313,25.636,7.2,0,2020s
tm177480,Police Academy,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",R,97,0,tt0087928,124881,25.533,6.6,1,1980s
tm238722,Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",PG-13,97,0,tt4682786,99712,25.409,7.3,1,2010s
tm827501,Tall Girl,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",PG,101,0,tt9252508,23452,25.358,6.4,1,2010s
tm116324,Jackass: The Movie,"Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time. They wander around Japan in panda outfits, wreak havoc on a once civilized golf course, they even do stunts involving LIVE alligators, and so on.",R,88,0,tt0322802,94423,25.23,6.3,1,2000s
tm25947,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,103,1,tt0208092,841435,25.203,7.8,1,2000s
tm285317,IO,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",PG-13,96,0,tt3256226,34180,25.116,4.9,1,2010s
tm140843,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,PG-13,118,0,tt2140379,98837,24.941,6.407,1,2010s
tm700,"10,000 BC",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,PG-13,109,0,tt0443649,130813,24.671,5.4,1,2000s
tm1021871,The Starling,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love.",PG-13,102,0,tt5164438,12309,24.671,7.1,1,2020s
tm244148,Mowgli: Legend of the Jungle,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",PG-13,105,0,tt2388771,61622,24.646,6.5,1,2010s
tm140391,Pan,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",PG,111,0,tt3332064,63788,24.494,6,1,2010s
tm174256,Red Riding Hood,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man â€“ who is wealthy. Unwilling to lose each other, Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon, to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.",PG-13,100,0,tt1486185,112015,24.404,6,1,2010s
tm35463,Blow,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.",R,124,1,tt0221027,258431,24.348,7.4,1,2000s
tm439484,Welcome Home,A couple try to repair their damaged union in an Italian vacation paradise. Then they discover the owner's intentions.,R,97,0,tt6829180,7597,24.328,5.2,1,2010s
tm239727,Nocturnal Animals,"Susan Morrow receives a book manuscript from her ex-husband â€“ a man she left 20 years earlier â€“ asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",R,117,1,tt4550098,264884,24.273,7.5,1,2010s
tm441198,The Princess Switch,"When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places.",PG,101,0,tt8954732,27852,24.268,7.037,1,2010s
tm61801,Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",R,157,1,tt1790885,296416,24.241,7,1,2010s
tm65686,U.S. Marshals,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",PG-13,131,0,tt0120873,105286,24.205,6.5,1,1990s
tm894254,Penguin Bloom,"When an unlikely ally enters the Bloom family's world in the form of an injured baby magpie they name Penguin, the birdâ€™s arrival makes a profound difference in the struggling familyâ€™s life.",PG-13,95,0,tt6317656,10148,24.152,7.1,1,2020s
tm319818,Outlaw King,"Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne.",R,121,0,tt6679794,70822,24.14,6.8,1,2010s
tm448792,In the Shadow of the Moon,"In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine years later, Locke's obsession with finding the truth threatens to destroy his career, his family, and possibly his sanity.",R,115,0,tt8110640,52206,23.952,6.2,0,2010s
tm136601,Walk of Shame,"A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",R,95,0,tt2463288,54465,23.897,5.9,1,2010s
tm416779,The Woman in the Window,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,R,100,0,tt6111574,72490,23.639,6.1,1,2020s
tm54450,Christine,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",R,110,0,tt0085333,81922,23.418,6.8,0,1980s
tm858869,Stowaway,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,PG-13,117,0,tt9203694,45090,23.376,5.875,1,2020s
tm348003,Acts of Vengeance,"A fast-talking lawyer transforms his body and takes a vow of silence, not to be broken until he finds out who killed his wife and daughter and has his revenge.",R,87,0,tt6288694,12160,23.289,5.899,1,2010s
tm244175,The Zookeeper's Wife,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",PG-13,126,1,tt1730768,43091,23.231,7.4,1,2010s
tm228677,The Space Between Us,"In this interplanetary adventure, a space shuttle embarks on the first mission to colonize Mars, only to discover after takeoff that one of the astronauts is pregnant. Shortly after landing, she dies from complications while giving birth to the first human born on the red planet â€“ never revealing who the father is. Thus begins the extraordinary life of Gardner Elliot â€“ an inquisitive, highly intelligent boy who reaches the age of 16 having only met 14 people in his very unconventional upbringing.",PG-13,121,0,tt3922818,52698,23.219,7.1,1,2010s
tm244519,Birth of the Dragon,"Set against the backdrop of San Franciscoâ€™s Chinatown, this cross-cultural biopic chronicles Bruce Leeâ€™s emergence as a martial-arts superstar after his legendary secret showdown with fellow martial artist Wong Jack Man.",PG-13,103,0,tt2720826,8220,23.051,5.8,1,2010s
tm420455,Rim of the World,"Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",PG,99,0,tt8179388,23987,22.933,6,1,2010s
tm368699,The Devil All the Time,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",R,138,1,tt7395114,122321,22.872,7.3,1,2020s
tm139194,Ratchet & Clank,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.",PG,94,0,tt2865120,10919,22.825,5.8,1,2010s
tm94606,Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie â€œLet The Right One Inâ€ which was an adaptation of a book.,R,116,1,tt1228987,121008,22.791,6.8,1,2010s
tm976166,Malcolm & Marie,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",R,106,0,tt12676326,36395,22.675,7.1,1,2020s
tm173195,The Rite,"Seminary student Michael Kovak reluctantly attends exorcism school at the Vatican. While heâ€™s in Rome, Michael meets an unorthodox priest who introduces him to the darker side of his faith, uncovering the devilâ€™s reach even to one of the holiest places on Earth.",PG-13,114,0,tt1161864,97585,22.593,6.1,1,2010s
tm893480,Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",R,113,0,tt7550000,86407,22.48,6.5,1,2020s
tm911973,Enola Holmes,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",PG-13,123,0,tt7846844,162511,22.461,7.3,1,2020s
tm45454,Get Smart,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",PG-13,110,0,tt0425061,216695,22.421,6.2,1,2000s
tm441231,Murder Mystery,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",PG-13,90,0,tt1618434,124599,22.376,6.2,1,2010s
tm175843,Dark Skies,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.",PG-13,97,0,tt2387433,75663,22.342,6.3,0,2010s
tm160361,A Princess for Christmas,"After her sister and brother-in-law's tragic death, an American woman who is the guardian for her young niece and nephew is invited to a royal European castle for Christmas by her late brother-in-law's father, the Duke of Castlebury. Feeling out of place as a commoner, she is determined to give her family a merry Christmas and surprises herself when she falls for a handsome prince.",PG,89,0,tt1083448,8268,22.33,7.1,1,2010s
tm217228,Death Note,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",NC-17,101,0,tt1241317,84119,22.306,4.2,1,2010s
tm832916,The Midnight Sky,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",PG-13,118,0,tt10539608,82362,22.231,5.8,1,2020s
tm191989,Donnie Brasco,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,R,127,1,tt0119008,303868,22.225,7.5,1,1990s
tm187187,Last Action Hero,"Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.",PG-13,131,0,tt0107362,150498,22.196,6.379,1,1990s
tm123789,The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",PG-13,120,0,tt1002563,3576,22.159,6.3,1,2010s
tm933639,Wish Upon a Unicorn,"Two children discover that their mother is gone. The youngest of the pair, adventurer and upcomming singer, Long Johnson forces his older sister, Lily Johnson, to hunt down a unicorn with magical blood.",PG,93,0,tt10798660,183,22.103,7.1,0,2020s
